Transaction Date,Post Date,Description,Category,Type,Amount,Memo
11/18/2024,11/18/2024,Temu.com,Shopping,Sale,-17.15,
11/16/2024,11/18/2024,YMCA SILICON VALLEY INTER,Gifts & Donations,Sale,-152.23,
11/17/2024,11/18/2024,Amazon Prime*4C3NW0KV3,Bills & Utilities,Sale,-16.36,
11/16/2024,11/17/2024,aliexpress,Shopping,Sale,-41.35,
11/16/2024,11/17/2024,Temu.com,Shopping,Sale,-37.27,
11/16/2024,11/17/2024,aliexpress,Shopping,Sale,-41.35,
11/15/2024,11/15/2024,Temu.com,Shopping,Sale,-40.76,
11/12/2024,11/13/2024,COSTCO GAS #0423,Gas,Sale,-41.82,
11/12/2024,11/13/2024,CVS/PHARMACY #09498,Health & Wellness,Sale,-7.97,
11/13/2024,11/13/2024,Temu.com,Shopping,Sale,-95.46,
11/11/2024,11/12/2024,WCI*WVCOLLECT&amp;RECYCLE,Bills & Utilities,Sale,-183.01,
11/10/2024,11/11/2024,Amazon.com*CW7V78NB3,Shopping,Sale,-50.00,
11/08/2024,11/10/2024,DD *DOORDASH MUNCHKART,Food & Drink,Sale,-24.65,
11/09/2024,11/10/2024,DD *DOORDASH MUNCHKART,Food & Drink,Return,2.51,
11/08/2024,11/10/2024,TST*ANJAPPAR SANTA CLARA,Food & Drink,Sale,-125.22,
11/08/2024,11/10/2024,BA@ADOBELEHIQSR,Food & Drink,Sale,-4.00,
11/08/2024,11/10/2024,COSTCO GAS #0423,Gas,Sale,-83.55,
11/06/2024,11/07/2024,DD *DOORDASH SAFFRONVA,Food & Drink,Sale,-20.26,
11/06/2024,11/06/2024,INDIA CASH &amp; CARRY,Groceries,Sale,-49.59,
11/05/2024,11/06/2024,DD *DOORDASH WALGREENS,Food & Drink,Sale,-12.61,
11/05/2024,11/06/2024,DD *DOORDASH PIQUETHAI,Food & Drink,Sale,-19.84,
11/04/2024,11/05/2024,AMZN Mktp US*8Q2863483,Shopping,Sale,-371.23,
11/04/2024,11/05/2024,DD *DOORDASH MUNCHKART,Food & Drink,Sale,-15.63,
11/04/2024,11/05/2024,COMCAST CALIFORNIA,Bills & Utilities,Sale,-130.00,
11/04/2024,11/05/2024,AMAZON MKTPL*GR0XA84N3,Shopping,Sale,-109.11,
11/03/2024,11/04/2024,AMAZON MKTPL*BD3W69NV3,Shopping,Sale,-260.47,
11/03/2024,11/04/2024,Temu.com,Shopping,Sale,-22.91,
11/02/2024,11/04/2024,5239 GREAT CLIPS OF EL PA,Personal,Sale,-30.00,
11/02/2024,11/04/2024,TST*MYLAPORE - WESTGATE,Food & Drink,Sale,-122.71,
11/03/2024,11/04/2024,TST*MYLAPORE - WESTGATE,Food & Drink,Sale,-8.76,
11/02/2024,11/03/2024,TEMU.COM,Shopping,Sale,-19.78,
11/02/2024,11/03/2024,TEMU.COM,Shopping,Sale,-25.51,
11/02/2024,11/03/2024,Temu.com,Shopping,Sale,-52.36,
11/01/2024,11/03/2024,IN *JYOTI THREADING SALON,Personal,Sale,-103.40,
11/01/2024,11/01/2024,ANNUAL MEMBERSHIP FEE,Fees & Adjustments,Fee,-95.00,
10/31/2024,11/01/2024,INDIA CASH &amp; CARRY,Groceries,Sale,-52.43,
10/30/2024,11/01/2024,HALAL MEATS,Groceries,Sale,-30.12,
10/31/2024,11/01/2024,BIG BASIN ALLIANCE,Gas,Sale,-30.00,
10/30/2024,10/31/2024,DD *DOORDASH INDIACASH,Food & Drink,Sale,-19.46,
10/28/2024,10/29/2024,GOOGLE STORE MTV,Shopping,Sale,-128.77,
10/27/2024,10/28/2024,COSTCO WHSE #0143,Shopping,Sale,-75.96,
10/26/2024,10/27/2024,ALAMEDA COUNTY WATER,Bills & Utilities,Sale,-148.24,
10/25/2024,10/27/2024,APNI MANDI FARMERS MAR,Groceries,Sale,-43.59,
10/20/2024,10/22/2024,HALAL MEATS,Groceries,Sale,-27.00,
10/20/2024,10/22/2024,TRADER JOE S #232,Groceries,Sale,-21.34,
10/21/2024,10/21/2024,AUTOMATIC PAYMENT - THANK,,Payment,61.98,
10/20/2024,10/21/2024,99 RANCH #1779,Groceries,Sale,-25.77,
10/19/2024,10/21/2024,THE HOME DEPOT #6635,Home,Sale,-94.97,
10/19/2024,10/20/2024,INDIA CASH &amp; CARRY,Groceries,Sale,-5.49,
10/19/2024,10/20/2024,INDIA CASH &amp; CARRY,Groceries,Sale,-28.43,
10/19/2024,10/20/2024,INDIA CASH &amp; CARRY,Groceries,Sale,-79.88,
10/17/2024,10/18/2024,Amazon Prime*EP9DC3SG3,Bills & Utilities,Sale,-16.36,
10/18/2024,10/18/2024,WAL-MART #2989,Shopping,Sale,-23.12,
10/15/2024,10/16/2024,TEMU.COM,Shopping,Sale,-58.37,
10/12/2024,10/13/2024,COSTCO WHSE #0778,Shopping,Sale,-4.39,
10/11/2024,10/13/2024,APNI MANDI FARMERS MAR,Groceries,Sale,-43.96,
10/11/2024,10/13/2024,APNI MANDI FARMERS MAR,Groceries,Sale,-73.27,
10/11/2024,10/13/2024,CVS/PHARMACY #09834,Health & Wellness,Sale,-24.00,
10/12/2024,10/13/2024,COSTCO GAS #0778,Gas,Sale,-39.73,
10/12/2024,10/13/2024,COSTCO WHSE #0778,Shopping,Sale,-63.25,
