Transaction Date,Post Date,Description,Category,Type,Amount,Memo
05/22/2024,05/23/2024,CHEVRON 0098168,Gas,Sale,-28.14,
05/22/2024,05/23/2024,DD DOORDASH CHAATBHAV,Food & Drink,Sale,-43.76,
05/22/2024,05/23/2024,SCRIBD 626042520,Entertainment,Sale,-11.99,
05/22/2024,05/23/2024,DD DOORDASH CVS,Food & Drink,Sale,-25.07,
05/20/2024,05/21/2024,COCONUT HILL,Groceries,Sale,-93.79,
05/19/2024,05/21/2024,STARBUCKS STORE 09865,Food & Drink,Sale,-12.20,
05/20/2024,05/21/2024,COCONUT HILL,Groceries,Sale,-16.65,
05/17/2024,05/19/2024,DD DOORDASH BHIMAVARA,Food & Drink,Sale,-29.92,
05/17/2024,05/19/2024,DD DOORDASH SAFEWAY,Food & Drink,Sale,-21.67,
05/16/2024,05/17/2024,FASTRAK CSC,Travel,Sale,-25.00,
05/16/2024,05/17/2024,DULHAN INC,Groceries,Sale,-7.99,
05/16/2024,05/17/2024,DD DOORDASH CHAATBHAV,Food & Drink,Sale,-24.02,
05/12/2024,05/14/2024,APNI MANDI FARMERS MAR,Groceries,Sale,-86.72,
05/14/2024,05/14/2024,LinkedIn Pre 9556396236,Bills & Utilities,Sale,-39.99,
05/13/2024,05/14/2024,DD DOORDASH DOSAHUT,Food & Drink,Sale,-40.38,
05/12/2024,05/13/2024,COSTCO GAS #1660,Gas,Sale,-36.04,
05/12/2024,05/13/2024,COSTCO WHSE #1660,Shopping,Sale,-138.15,
05/12/2024,05/13/2024,GOOGLE *Disney Mobile,Entertainment,Sale,-10.99,
05/12/2024,05/13/2024,AMAZON PRIME*XW6HE85A3,Shopping,Sale,-2.54,
05/12/2024,05/13/2024,AMAZON PRIME*UB0QC5663,Shopping,Sale,-3.15,
05/11/2024,05/12/2024,INDIA CASH &amp; CARRY,Groceries,Sale,-50.02,
05/11/2024,05/12/2024,BIG BASIN ALLIANCE,Gas,Sale,-28.31,
05/10/2024,05/12/2024,CHEVRON 0098168,Gas,Sale,-11.45,
05/11/2024,05/12/2024,AMZN Mktp US*TP6CV1MS3,Shopping,Sale,-33.38,
05/11/2024,05/12/2024,DD DOORDASH BIRYANIBI,Food & Drink,Sale,-18.97,
05/08/2024,05/10/2024,TST* MYLAPORE - FREMONT,Food & Drink,Sale,-32.60,
05/08/2024,05/10/2024,85C BAKERY CAFE USA,Food & Drink,Sale,-13.10,
05/08/2024,05/09/2024,BA@ADBTEMPLATE,Food & Drink,Sale,-7.50,
05/08/2024,05/09/2024,DD DOORDASH BIRYANIBI,Food & Drink,Sale,-17.87,
05/08/2024,05/09/2024,BA@ADBTEMPLATE,Food & Drink,Sale,-2.50,
05/07/2024,05/08/2024,DULHAN INC,Groceries,Sale,-14.67,
05/07/2024,05/08/2024,DULHAN INC,Groceries,Sale,-38.43,
05/06/2024,05/06/2024,AMAZON PRIME*3T5G71ME3,Shopping,Sale,-5.09,
05/04/2024,05/05/2024,DD DOORDASH BIRYANIBI,Food & Drink,Sale,-18.97,
05/03/2024,05/05/2024,AMAZON PRIME*5S0H27D73,Shopping,Sale,-2.87,
05/03/2024,05/05/2024,KAISER PHARM 161,Health & Wellness,Sale,-9.00,
05/04/2024,05/05/2024,TST* CHAAT BHAVAN FREMONT,Food & Drink,Sale,-30.84,
05/01/2024,05/03/2024,TRADER JOE S #077,Groceries,Sale,-94.39,
05/02/2024,05/03/2024,COSTCO GAS #1660,Gas,Sale,-39.47,
05/02/2024,05/03/2024,CHIPOTLE 1031,Food & Drink,Sale,-21.65,
05/02/2024,05/03/2024,AMAZON PRIME*RR8PF1S52,Shopping,Sale,-1.24,
05/02/2024,05/03/2024,COSTCO WHSE #1660,Shopping,Sale,-88.15,
05/01/2024,05/02/2024,CVS/PHARMACY #09099,Health & Wellness,Sale,-15.49,
05/01/2024,05/02/2024,SPECIALTYS.COM,Food & Drink,Sale,-14.13,
05/01/2024,05/02/2024,CHIPOTLE 1031,Food & Drink,Sale,-22.32,
04/30/2024,05/01/2024,SQ *BIRYANI JUNCTION,Home,Sale,-28.77,
04/29/2024,05/01/2024,STARBUCKS STORE 05286,Food & Drink,Sale,-17.30,
04/29/2024,05/01/2024,STARBUCKS STORE 05286,Food & Drink,Sale,-6.45,
04/29/2024,04/30/2024,Netflix.com,Bills & Utilities,Sale,-15.49,
04/29/2024,04/30/2024,CHIPOTLE 1031,Food & Drink,Sale,-11.74,
04/28/2024,04/29/2024,DD DOORDASH CHAATBHAV,Food & Drink,Sale,-18.52,
04/28/2024,04/29/2024,COCONUT HILL,Groceries,Sale,-117.10,
04/29/2024,04/29/2024,AMAZON PRIME*9Q1OD5Y23,Shopping,Sale,-2.87,
04/28/2024,04/28/2024,Payment Thank You - Web,,Payment,3368.91,
04/26/2024,04/28/2024,LUCKY #712 FREMONT,Groceries,Sale,-9.49,
04/27/2024,04/28/2024,DD DOORDASH BHIMAVARA,Food & Drink,Sale,-28.82,
04/26/2024,04/26/2024,ALAMEDA COUNTY WATER,Bills & Utilities,Sale,-155.61,
04/24/2024,04/25/2024,COSTCO GAS #1660,Gas,Sale,-56.55,
04/24/2024,04/25/2024,DD DOORDASH BIRYANIBI,Food & Drink,Sale,-30.04,
04/24/2024,04/25/2024,COSTCO WHSE #1660,Shopping,Sale,-31.67,
04/23/2024,04/24/2024,KAISER 02090165,Health & Wellness,Sale,-25.00,
04/23/2024,04/24/2024,KAISER PHARM 162,Health & Wellness,Sale,-20.28,
04/21/2024,04/23/2024,LUCKY #712 FREMONT,Groceries,Sale,-6.99,
04/22/2024,04/23/2024,KAISER PHARM 161,Health & Wellness,Sale,-22.04,
04/22/2024,04/23/2024,KAISER PHARM 161,Health & Wellness,Sale,-20.94,
04/22/2024,04/23/2024,SCRIBD 626042520,Entertainment,Sale,-11.99,
04/22/2024,04/23/2024,KAISER 02090165,Health & Wellness,Sale,-10.00,
04/22/2024,04/23/2024,KAISER 02090165,Health & Wellness,Sale,-25.00,
04/21/2024,04/23/2024,APNI MANDI FARMERS MAR,Groceries,Sale,-36.68,
04/19/2024,04/22/2024,ADF SHOPS DEPARTURE HALL,Shopping,Sale,-29.10,
04/19/2024,04/22/2024,ADF SHOPS DEPARTURE HALL,Shopping,Sale,-8.70,
04/22/2024,04/22/2024,UBER *TRIP HELP.UBER.COM,Travel,Sale,-16.89,
04/21/2024,04/21/2024,AUTOMATIC PAYMENT - THANK,,Payment,1852.73,
04/20/2024,04/21/2024,DD *IDLYEXPRESS,Food & Drink,Sale,-29.44,
04/20/2024,04/21/2024,COCONUT HILL,Groceries,Sale,-95.84,
04/20/2024,04/21/2024,IC* INSTACART,Groceries,Sale,-66.83,
04/20/2024,04/21/2024,DD *PARADISEBIRY,Food & Drink,Sale,-39.01,
04/19/2024,04/21/2024,Heinemann Duty Free/Fil.3,Shopping,Sale,-11.43,
04/19/2024,04/21/2024,LHR T3 GLORIOUS BRITAIN A,Shopping,Sale,-5.61,
04/20/2024,04/21/2024,COCONUT HILL,Groceries,Sale,-8.24,
04/18/2024,04/19/2024,DD *CHAATBHAVAN,Food & Drink,Sale,-25.12,
04/18/2024,04/19/2024,CHIPOTLE 1031,Food & Drink,Sale,-17.22,
04/17/2024,04/18/2024,DD *IDLYEXPRESS,Food & Drink,Sale,-27.74,
04/17/2024,04/18/2024,LORI'S HAIR AND NAILS,Personal,Sale,-19.00,
04/14/2024,04/16/2024,APNI MANDI FARMERS MAR,Groceries,Sale,-51.56,
04/15/2024,04/16/2024,TST* MYLAPORE - FREMONT,Food & Drink,Sale,-26.45,
04/14/2024,04/15/2024,CVS/PHARMACY #09600,Health & Wellness,Sale,-40.99,
04/14/2024,04/15/2024,DOSA HUT,Food & Drink,Sale,-37.18,
04/12/2024,04/14/2024,CHEVRON 0098168,Gas,Sale,-18.25,
04/14/2024,04/14/2024,LinkedIn Pre 9451316136,Bills & Utilities,Sale,-39.99,
04/12/2024,04/14/2024,UPPER CRUST,Food & Drink,Sale,-3.51,
04/12/2024,04/14/2024,WORCESTER SH T/O,Travel,Sale,-84.05,
04/12/2024,04/14/2024,UBER   *TRIP,Travel,Sale,-7.31,
04/13/2024,04/14/2024,COSTCO GAS #1660,Gas,Sale,-44.60,
04/13/2024,04/14/2024,COSTCO WHSE #1660,Shopping,Sale,-63.05,
04/12/2024,04/14/2024,CHIPOTLE 1031,Food & Drink,Sale,-9.91,
04/13/2024,04/14/2024,COSTCO WHSE #1660,Shopping,Return,27.68,
04/13/2024,04/14/2024,COSTCO WHSE #1660,Shopping,Sale,-6.61,
04/12/2024,04/14/2024,GOOGLE *Disney Mobile,Shopping,Sale,-10.99,
04/12/2024,04/14/2024,85C BAKERY CAFE USA,Food & Drink,Sale,-17.75,
04/11/2024,04/12/2024,COCONUT HILL,Groceries,Sale,-34.35,
04/12/2024,04/12/2024,LYFT   *1 RIDE 04-10,Travel,Sale,-73.80,
04/11/2024,04/12/2024,DD *IDLYEXPRESS,Food & Drink,Sale,-39.37,
04/10/2024,04/11/2024,UNITED AIRLI0164291617162,Travel,Sale,-75.00,
04/09/2024,04/10/2024,MINT MOBILE,Bills & Utilities,Sale,-70.35,
04/08/2024,04/09/2024,WEST MIDLAND SAFAI PAR,Entertainment,Sale,-53.77,
04/08/2024,04/09/2024,AMZN Mktp US*MF56T19K3,Shopping,Sale,-14.09,
04/08/2024,04/09/2024,WEST MIDLAND SAFAI PAR,Entertainment,Sale,-1.27,
04/08/2024,04/09/2024,WMSP,Entertainment,Sale,-202.43,
04/07/2024,04/08/2024,TENPIN LTD - 206,Health & Wellness,Sale,-9.84,
04/07/2024,04/08/2024,TENPIN LTD - 206,Health & Wellness,Sale,-23.96,
04/06/2024,04/07/2024,NYX*Roadchef,Food & Drink,Sale,-3.80,
04/05/2024,04/07/2024,Brockhole Caf?,Food & Drink,Sale,-4.44,
04/06/2024,04/07/2024,NYA*Lakes Parish Counc,Groceries,Sale,-0.76,
04/06/2024,04/07/2024,NYA*Lakes Parish Counc,Groceries,Sale,-0.76,
04/05/2024,04/07/2024,ZIP WORLD LIMITED,Entertainment,Sale,-31.72,
04/05/2024,04/07/2024,Jintana Thai Restaurant,Food & Drink,Sale,-141.51,
04/06/2024,04/07/2024,LOWTHER CASTLE,Food & Drink,Sale,-19.55,
04/05/2024,04/07/2024,Brockhole Caf?,Food & Drink,Sale,-24.55,
04/04/2024,04/05/2024,NYX*LRS,Food & Drink,Sale,-1.90,
04/04/2024,04/05/2024,BKG*HOTEL AT BOOKING.C,Travel,Sale,-160.73,
04/03/2024,04/04/2024,SANGEETHA VEGETARIAN REST,Food & Drink,Sale,-104.08,
04/02/2024,04/03/2024,TFL TRAVEL CH,Travel,Sale,-4.40,
04/02/2024,04/03/2024,T K MAXX,Shopping,Sale,-33.77,
04/02/2024,04/03/2024,TFL TRAVEL CH,Travel,Sale,-2.20,
04/01/2024,04/02/2024,TFL TRAVEL CH,Travel,Sale,-8.10,
03/31/2024,04/02/2024,UNITED      0164289114969,Travel,Sale,-75.00,
04/01/2024,04/02/2024,FASTRAK CSC,Travel,Sale,-25.00,
04/01/2024,04/02/2024,GREGGS PLC,Food & Drink,Sale,-2.34,
03/30/2024,04/01/2024,STARBUCKS INT ARR SFO,Food & Drink,Sale,-28.36,
03/31/2024,04/01/2024,GWR LONDON PADD GT,Travel,Sale,-52.87,
03/31/2024,04/01/2024,WWW.HEATHROWEXPRESS.CO,Travel,Sale,-31.62,
03/29/2024,03/31/2024,NETFLIX.COM,Bills & Utilities,Sale,-15.49,
03/31/2024,03/31/2024,DD DOORDASH DOSAHUT,Food & Drink,Sale,-34.32,
03/30/2024,03/31/2024,MINT MOBILE,Bills & Utilities,Sale,-11.82,
03/30/2024,03/31/2024,MINT MOBILE,Bills & Utilities,Sale,-11.82,
03/30/2024,03/31/2024,CVS/PHARMACY #09600,Health & Wellness,Sale,-3.02,
03/29/2024,03/31/2024,TARGET        00014225,Shopping,Sale,-142.36,
03/28/2024,03/29/2024,CHIPOTLE 1031,Food & Drink,Sale,-11.63,
03/28/2024,03/29/2024,DD DOORDASH BHIMAVARA,Food & Drink,Sale,-26.44,
03/27/2024,03/28/2024,VENDING MACHINE,Groceries,Sale,-17.00,
03/27/2024,03/28/2024,DD DOORDASH CHAATBHAV,Food & Drink,Sale,-24.02,
03/26/2024,03/27/2024,COSTCO GAS #1660,Gas,Sale,-53.71,
03/26/2024,03/27/2024,COSTCO WHSE #1660,Shopping,Sale,-102.34,
03/25/2024,03/27/2024,IN *AK BADMINTON &amp; TENNIS,Shopping,Sale,-203.96,
03/24/2024,03/25/2024,TOPRESUME USPACKAGE,Professional Services,Sale,-314.00,
03/22/2024,03/24/2024,PY *CAULDRON ICECREAM,Food & Drink,Sale,-16.52,
03/22/2024,03/24/2024,SCRIBD 626042520,Entertainment,Sale,-11.99,
03/21/2024,03/24/2024,CVS/PHARMACY #09600,Health & Wellness,Sale,-29.54,
03/22/2024,03/24/2024,WHOLEFDS FRE #10467,Groceries,Sale,-35.55,
03/21/2024,03/21/2024,AUTOMATIC PAYMENT - THANK,,Payment,1851.70,
03/19/2024,03/21/2024,STARBUCKS STORE 05286,Food & Drink,Sale,-7.45,
03/20/2024,03/21/2024,STRIZZI'S FREMONT,Food & Drink,Sale,-110.00,
03/18/2024,03/20/2024,60775 - SFO PARKING IT-G,Travel,Sale,-8.00,
03/20/2024,03/20/2024,SP BADMINTONDIRECT,Shopping,Sale,-5.00,
03/19/2024,03/20/2024,FASTRAK CSC,Travel,Sale,-25.00,
03/17/2024,03/19/2024,SPROUTS FARMERS MAR,Groceries,Sale,-155.62,
03/16/2024,03/17/2024,NETFLIX.COM,Bills & Utilities,Sale,-6.99,
03/14/2024,03/14/2024,LinkedIn Pre 9337773416,Bills & Utilities,Sale,-39.99,
03/12/2024,03/13/2024,GOOGLE *Disney Mobile,Bills & Utilities,Sale,-10.99,
03/12/2024,03/13/2024,DD DOORDASH CHIPOTLEM,Food & Drink,Sale,-16.66,
03/13/2024,03/13/2024,eBay O*25-11293-49555,Shopping,Sale,-8.36,
03/13/2024,03/13/2024,eBay O*25-11293-49556,Shopping,Sale,-15.55,
03/11/2024,03/12/2024,COSTCO WHSE #1660,Shopping,Sale,-145.90,
03/10/2024,03/11/2024,RAMESHWARAM CAFE,Food & Drink,Sale,-11.52,
03/08/2024,03/11/2024,K1 SPEED SANTA CLARA PADD,Food & Drink,Sale,-8.76,
03/10/2024,03/11/2024,RAMESHWARAM CAFE,Food & Drink,Sale,-37.32,
03/10/2024,03/11/2024,RAMESHWARAM CAFE,Food & Drink,Sale,-12.13,
03/09/2024,03/11/2024,AMC 0456 NEWPARK 12,Entertainment,Sale,-16.00,
03/08/2024,03/10/2024,DULHAN INC,Groceries,Sale,-6.99,
03/08/2024,03/10/2024,LUCKY #712 FREMONT,Groceries,Sale,-4.49,
03/07/2024,03/10/2024,APNI MANDI FARMERS MAR,Groceries,Sale,-163.84,
03/08/2024,03/10/2024,DD *CHAATBHAVAN,Food & Drink,Sale,-42.24,
03/08/2024,03/10/2024,LUCKY #712 FREMONT,Groceries,Sale,-9.91,
03/07/2024,03/08/2024,76 - CF UNITED APRO LL,Gas,Sale,-55.75,
03/06/2024,03/07/2024,TST* CURRY PIZZA HOUSE -,Food & Drink,Sale,-55.61,
03/07/2024,03/07/2024,THRIFT BOOKS GLOBAL  LLC,Shopping,Sale,-24.02,
03/06/2024,03/06/2024,NETFLIX.COM,Bills & Utilities,Return,15.49,
03/04/2024,03/06/2024,LUCKY #712 FREMONT,Groceries,Sale,-45.21,
03/04/2024,03/05/2024,FASTRAK CSC,Travel,Sale,-25.00,
03/05/2024,03/05/2024,NETFLIX.COM,Bills & Utilities,Sale,-15.49,
03/01/2024,03/03/2024,DOSA HUT,Food & Drink,Sale,-6.60,
03/01/2024,03/03/2024,DOSA HUT,Food & Drink,Sale,-14.52,
02/28/2024,03/01/2024,APNI MANDI FARMERS MAR,Groceries,Sale,-66.89,
02/29/2024,03/01/2024,SSP*CABadminton,Entertainment,Sale,-81.49,
02/29/2024,02/29/2024,AMZN Mktp US*RW1YB4KP1,Shopping,Sale,-44.09,
02/28/2024,02/29/2024,COSTCO GAS #1660,Gas,Sale,-29.60,
02/28/2024,02/29/2024,COSTCO WHSE #1660,Shopping,Sale,-110.89,
02/27/2024,02/29/2024,LEGO - 709,Shopping,Sale,-75.40,
02/27/2024,02/28/2024,SQ *BIRYANI JUNCTION,Home,Sale,-43.15,
02/27/2024,02/28/2024,ROCKY MOUNTAIN CHOCOLATE,Food & Drink,Sale,-23.72,
02/28/2024,02/28/2024,ALAMEDA COUNTY WATER,Bills & Utilities,Sale,-185.58,
02/26/2024,02/27/2024,DULHAN INC,Groceries,Sale,-15.09,
02/22/2024,02/23/2024,SCRIBD 626042520,Entertainment,Sale,-11.99,
02/22/2024,02/23/2024,LORI'S HAIR AND NAILS,Personal,Sale,-20.00,
02/21/2024,02/22/2024,COSTCO GAS #0778,Gas,Sale,-42.58,
02/21/2024,02/21/2024,AUTOMATIC PAYMENT - THANK,,Payment,1896.33,
02/20/2024,02/21/2024,CVS/PHARMACY #09600,Health & Wellness,Sale,-33.02,
02/18/2024,02/20/2024,SPROUTS FARMERS MAR,Groceries,Sale,-79.35,
02/18/2024,02/19/2024,COCONUT HILL,Groceries,Sale,-95.01,
02/17/2024,02/18/2024,COSTCO GAS #1660,Gas,Sale,-70.60,
02/17/2024,02/18/2024,TST* CHAAT BHAVAN FREMONT,Food & Drink,Sale,-72.20,
02/16/2024,02/18/2024,NIRVANAAH INC,Food & Drink,Sale,-5.25,
02/15/2024,02/18/2024,SPECIALTYS CAFE  BAKERY,Food & Drink,Sale,-13.06,
02/16/2024,02/16/2024,SP BADMINTONDIRECT,Shopping,Sale,-41.88,
02/15/2024,02/16/2024,BA@ADBTEMPLATE,Food & Drink,Sale,-6.25,
02/15/2024,02/16/2024,BA MOBILE@ADOBE CAFE,Food & Drink,Return,7.50,
02/15/2024,02/16/2024,BA MOBILE@ADOBE CAFE,Food & Drink,Sale,-7.50,
02/15/2024,02/16/2024,COSTCO GAS #1660,Gas,Sale,-41.58,
02/14/2024,02/15/2024,CHIPOTLE 1031,Food & Drink,Sale,-38.49,
02/12/2024,02/13/2024,AMZN Mktp US*RI0Q431E0,Shopping,Sale,-44.51,
02/12/2024,02/13/2024,AMZN Mktp US*RB3Q96RD2,Shopping,Sale,-29.43,
02/12/2024,02/13/2024,GOOGLE *Disney Mobile,Bills & Utilities,Sale,-10.99,
02/12/2024,02/12/2024,Amazon Prime,Bills & Utilities,Return,70.50,
02/10/2024,02/11/2024,SYNERGY BADMINTON ACADEM,Health & Wellness,Sale,-45.00,
02/08/2024,02/09/2024,COSTCO GAS #1660,Gas,Sale,-44.85,
02/08/2024,02/09/2024,COSTCO WHSE #0778,Shopping,Sale,-67.53,
02/08/2024,02/09/2024,CHIPOTLE 1031,Food & Drink,Sale,-11.63,
02/08/2024,02/09/2024,COCONUT HILL,Groceries,Sale,-13.77,
02/08/2024,02/09/2024,COCONUT HILL,Groceries,Sale,-114.94,
02/08/2024,02/09/2024,CHEVRON 0098168,Gas,Sale,-4.94,
02/05/2024,02/06/2024,THE UPS STORE 3145,Personal,Sale,-23.96,
02/05/2024,02/06/2024,FEDEX OFFIC51500051599,Personal,Sale,-0.89,
02/05/2024,02/06/2024,THE UPS STORE 3145,Personal,Sale,-75.16,
02/04/2024,02/06/2024,AAPPAKADAI,Food & Drink,Sale,-115.00,
02/03/2024,02/04/2024,AMZN Mktp US*R22CS5DK2,Shopping,Sale,-44.09,
02/03/2024,02/04/2024,Netflix.com,Bills & Utilities,Sale,-15.49,
02/02/2024,02/04/2024,BASKIN #361217,Food & Drink,Sale,-3.75,
02/01/2024,02/02/2024,SQ *BIRYANI JUNCTION,Home,Sale,-6.63,
01/31/2024,02/02/2024,85C BAKERY CAFE USA,Food & Drink,Sale,-10.50,
02/01/2024,02/02/2024,COSTCO WHSE #1660,Shopping,Sale,-209.81,
02/01/2024,02/02/2024,SQ *BIRYANI JUNCTION,Home,Sale,-7.74,
02/01/2024,02/02/2024,SQ *BIRYANI JUNCTION,Home,Sale,-14.39,
01/30/2024,02/01/2024,AURUM,Food & Drink,Sale,-142.00,
01/30/2024,01/31/2024,AMZN Mktp US*R02VA96B1,Shopping,Sale,-34.60,
01/29/2024,01/30/2024,WHOLEFDS FRE #10467,Groceries,Sale,-28.34,
01/25/2024,01/28/2024,SPECIALTYS CAFE  BAKERY,Food & Drink,Sale,-4.40,
01/25/2024,01/28/2024,SPECIALTYS CAFE  BAKERY,Food & Drink,Sale,-18.46,
01/24/2024,01/26/2024,STARBUCKS STORE 05286,Food & Drink,Sale,-7.30,
01/24/2024,01/26/2024,SPROUTS FARMERS MAR,Groceries,Sale,-61.16,
01/24/2024,01/25/2024,COSTCO GAS #0778,Gas,Sale,-27.77,
01/24/2024,01/25/2024,SYNERGY BADMINTON ACADEM,Health & Wellness,Sale,-45.00,
01/24/2024,01/25/2024,AMZN Mktp US*R89E009G1,Shopping,Sale,-4.40,
01/21/2024,01/22/2024,UKVI 3030042634160,Bills & Utilities,Sale,-152.00,
01/21/2024,01/22/2024,UKVI 3030042634399,Bills & Utilities,Sale,-152.00,
01/21/2024,01/22/2024,MED*STANFORD HEALTH CARE,Health & Wellness,Sale,-30.00,
01/21/2024,01/22/2024,DULHAN INC,Groceries,Sale,-13.40,
01/21/2024,01/21/2024,AUTOMATIC PAYMENT - THANK,,Payment,33.11,
01/20/2024,01/21/2024,76 - NW2611220 ASD2 NO,Gas,Sale,-46.05,
01/18/2024,01/19/2024,DD DOORDASH BHIMAVARA,Food & Drink,Sale,-31.02,
01/17/2024,01/18/2024,TST* ICICLES - NEWARK,Food & Drink,Sale,-12.00,
01/18/2024,01/18/2024,AMZN Mktp US*R82KK2LU2,Shopping,Sale,-14.89,
01/15/2024,01/16/2024,COCONUT HILL,Groceries,Sale,-11.08,
01/14/2024,01/15/2024,COCONUT HILL,Groceries,Sale,-79.75,
01/12/2024,01/14/2024,GOOGLE *Disney Mobile,Shopping,Sale,-10.99,
01/14/2024,01/14/2024,Amazon.com*RT1MF51H1,Shopping,Sale,-75.00,
01/13/2024,01/14/2024,TEMU.COM,Shopping,Sale,-48.98,
01/10/2024,01/11/2024,MINT MOBILE,Bills & Utilities,Sale,-106.86,
01/10/2024,01/11/2024,SYNERGY BADMINTON ACADEM,Health & Wellness,Sale,-67.50,
01/10/2024,01/11/2024,SYNERGY BADMINTON ACADEM,Health & Wellness,Sale,-45.00,
01/09/2024,01/11/2024,85C BAKERY CAFE USA,Food & Drink,Sale,-11.40,
01/09/2024,01/11/2024,TARGET        00014225,Shopping,Sale,-170.39,
01/09/2024,01/10/2024,DD DOORDASH CHAATBHAV,Food & Drink,Sale,-21.80,
01/07/2024,01/08/2024,COCONUT HILL,Groceries,Sale,-24.31,
01/05/2024,01/08/2024,CHARTER LIQUORS,Groceries,Sale,-12.23,
01/07/2024,01/08/2024,COCONUT HILL,Groceries,Sale,-102.43,
01/07/2024,01/08/2024,DULHAN INC,Groceries,Sale,-12.10,
01/06/2024,01/07/2024,TST* BOMBAY PIZZA HOUSE,Food & Drink,Sale,-36.80,
01/03/2024,01/04/2024,COSTCO WHSE #0778,Shopping,Return,235.81,
01/03/2024,01/04/2024,COSTCO WHSE #0778,Shopping,Sale,-80.24,
01/03/2024,01/04/2024,KOHL'S #0759,Shopping,Sale,-30.43,
01/02/2024,01/03/2024,COSTCO GAS #0778,Gas,Sale,-43.19,
01/02/2024,01/03/2024,COCONUT HILL,Groceries,Sale,-71.54,
12/31/2023,01/01/2024,TEMU.COM,Shopping,Sale,-27.92,
12/30/2023,01/01/2024,LUCKY #712 FREMONT,Groceries,Sale,-12.53,
